Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
16/2/2021,New Jersey Devils,5,New York Rangers,2,,,02:35,
16/2/2021,Washington Capitals,3,Pittsburgh Penguins,1,,,02:22,
16/2/2021,Colorado Avalanche,3,Vegas Golden Knights,2,,,02:23,
17/2/2021,Florida Panthers,4,Carolina Hurricanes,3,OT,,02:33,
17/2/2021,Vancouver Canucks,5,Calgary Flames,1,,,02:20,
17/2/2021,Chicago Blackhawks,2,Detroit Red Wings,0,,,02:12,
17/2/2021,Winnipeg Jets,2,Edmonton Oilers,3,,,02:25,
17/2/2021,Ottawa Senators,1,Toronto Maple Leafs,2,,,02:22,
18/2/2021,Minnesota Wild,3,Anaheim Ducks,1,,,02:26,
18/2/2021,Los Angeles Kings,3,Arizona Coyotes,2,SO,2281.0,02:35,
18/2/2021,New Jersey Devils,3,Boston Bruins,2,,,02:28,
18/2/2021,Nashville Predators,0,Columbus Blue Jackets,3,,,02:23,
18/2/2021,New York Rangers,3,Philadelphia Flyers,2,SO,,02:41,
18/2/2021,New York Islanders,1,Pittsburgh Penguins,4,,,02:22,
18/2/2021,San Jose Sharks,2,St. Louis Blues,3,OT,,02:30,
18/2/2021,Ottawa Senators,3,Toronto Maple Leafs,7,,,02:23,
18/2/2021,Buffalo Sabres,1,Washington Capitals,3,,,02:12,
19/2/2021,Chicago Blackhawks,3,Carolina Hurricanes,5,,,02:24,
19/2/2021,Edmonton Oilers,2,Calgary Flames,1,,,02:12,
19/2/2021,Florida Panthers,7,Detroit Red Wings,2,,,02:30,
19/2/2021,Winnipeg Jets,2,Vancouver Canucks,0,,,02:21,
20/2/2021,Minnesota Wild,5,Anaheim Ducks,1,,,02:26,
20/2/2021,Los Angeles Kings,4,Arizona Coyotes,2,,3187.0,02:18,
20/2/2021,Tampa Bay Lightning,0,Carolina Hurricanes,4,,,02:20,
20/2/2021,Nashville Predators,4,Columbus Blue Jackets,2,,,02:31,
20/2/2021,Vegas Golden Knights,2,Colorado Avalanche,3,,,00:35,NHL Outdoors at Lake Tahoe
20/2/2021,Florida Panthers,1,Detroit Red Wings,2,,,02:28,
20/2/2021,Calgary Flames,1,Edmonton Oilers,7,,,02:35,
20/2/2021,Toronto Maple Leafs,5,Montreal Canadiens,3,,,02:29,
20/2/2021,Buffalo Sabres,3,New Jersey Devils,2,,,02:21,
20/2/2021,New York Islanders,2,Pittsburgh Penguins,3,,,02:20,
20/2/2021,San Jose Sharks,5,St. Louis Blues,4,,,02:30,
20/2/2021,New York Rangers,4,Washington Capitals,1,,,02:25,
21/2/2021,Philadelphia Flyers,3,Boston Bruins,7,,,02:28,NHL Outdoors at Lake Tahoe
21/2/2021,Montreal Canadiens,2,Ottawa Senators,3,OT,,02:34,
21/2/2021,Winnipeg Jets,4,Vancouver Canucks,3,OT,,02:26,
21/2/2021,New Jersey Devils,3,Washington Capitals,4,,,02:28,
22/2/2021,Anaheim Ducks,3,Arizona Coyotes,4,,2346.0,02:47,
22/2/2021,Tampa Bay Lightning,4,Carolina Hurricanes,2,,,02:33,
22/2/2021,Vegas Golden Knights,3,Colorado Avalanche,0,,,02:18,
22/2/2021,Dallas Stars,1,Florida Panthers,3,,3510.0,02:23,
22/2/2021,Buffalo Sabres,2,New York Islanders,3,,,02:23,at Nassau Veterans Memorial Coliseum (Uniondale NY)
22/2/2021,Minnesota Wild,6,San Jose Sharks,2,,,02:29,
22/2/2021,Los Angeles Kings,3,St. Louis Blues,0,,,02:19,
