Date,visitor,G,home,G.1,Unnamed: 5,Att.,LOG,Notes,game_date
23/11/2018,Calgary Flames,0,Vegas Golden Knights,2,,18206,02:25,,2018-11-23
23/11/2018,Detroit Red Wings,1,Washington Capitals,3,,18506,02:32,,2018-11-23
24/11/2018,Dallas Stars,2,Colorado Avalanche,3,,18010,02:31,,2018-11-24
24/11/2018,Buffalo Sabres,3,Detroit Red Wings,2,SO,19515,02:51,at Little Caesars Arena (Detroit MI),2018-11-24
24/11/2018,Chicago Blackhawks,5,Florida Panthers,4,OT,14283,02:37,,2018-11-24
24/11/2018,Vancouver Canucks,4,Los Angeles Kings,2,,17725,02:23,,2018-11-24
24/11/2018,Boston Bruins,3,Montreal Canadiens,2,,21302,02:37,,2018-11-24
24/11/2018,Carolina Hurricanes,1,New York Islanders,4,,10015,02:23,,2018-11-24
24/11/2018,Washington Capitals,5,New York Rangers,3,,16884,02:17,,2018-11-24
24/11/2018,Columbus Blue Jackets,2,Pittsburgh Penguins,4,,18602,02:37,,2018-11-24
24/11/2018,Winnipeg Jets,8,St. Louis Blues,4,,17028,02:35,,2018-11-24
24/11/2018,Philadelphia Flyers,0,Toronto Maple Leafs,6,,19373,02:25,,2018-11-24
24/11/2018,San Jose Sharks,0,Vegas Golden Knights,6,,18252,02:34,,2018-11-24
25/11/2018,Calgary Flames,6,Arizona Coyotes,1,,12821,02:29,,2018-11-25
25/11/2018,Edmonton Oilers,2,Los Angeles Kings,5,,17581,02:39,,2018-11-25
25/11/2018,Anaheim Ducks,2,Nashville Predators,5,,17167,02:43,,2018-11-25
25/11/2018,New Jersey Devils,2,Tampa Bay Lightning,5,,19092,02:33,,2018-11-25
26/11/2018,Columbus Blue Jackets,7,Detroit Red Wings,5,,17510,02:31,at Little Caesars Arena (Detroit MI),2018-11-26
26/11/2018,New Jersey Devils,3,Florida Panthers,4,OT,9456,02:43,,2018-11-26
26/11/2018,Washington Capitals,4,New York Islanders,1,,9072,02:20,,2018-11-26
26/11/2018,Ottawa Senators,2,New York Rangers,4,,16709,02:37,,2018-11-26
26/11/2018,Boston Bruins,2,Toronto Maple Leafs,4,,19286,02:27,,2018-11-26
27/11/2018,San Jose Sharks,2,Buffalo Sabres,3,OT,19070,02:39,,2018-11-27
27/11/2018,Vegas Golden Knights,8,Chicago Blackhawks,3,,21460,02:26,,2018-11-27
27/11/2018,Dallas Stars,0,Edmonton Oilers,1,OT,18347,02:32,,2018-11-27
27/11/2018,Arizona Coyotes,4,Minnesota Wild,3,,18706,02:27,,2018-11-27
27/11/2018,Carolina Hurricanes,2,Montreal Canadiens,1,,20835,02:27,,2018-11-27
27/11/2018,Colorado Avalanche,3,Nashville Predators,2,,17163,02:29,,2018-11-27
27/11/2018,Ottawa Senators,4,Philadelphia Flyers,3,,19083,02:28,,2018-11-27
27/11/2018,Anaheim Ducks,3,Tampa Bay Lightning,1,,19092,02:25,,2018-11-27
27/11/2018,Los Angeles Kings,2,Vancouver Canucks,1,OT,17790,02:26,,2018-11-27
27/11/2018,Pittsburgh Penguins,4,Winnipeg Jets,3,,15321,02:23,,2018-11-27
28/11/2018,Dallas Stars,4,Calgary Flames,3,OT,17676,02:32,,2018-11-28
28/11/2018,Pittsburgh Penguins,3,Colorado Avalanche,6,,17348,02:31,,2018-11-28
28/11/2018,St. Louis Blues,3,Detroit Red Wings,4,,18165,02:36,at Little Caesars Arena (Detroit MI),2018-11-28
28/11/2018,Anaheim Ducks,3,Florida Panthers,2,,9078,02:31,,2018-11-28
28/11/2018,San Jose Sharks,3,Toronto Maple Leafs,5,,19362,02:36,,2018-11-28
29/11/2018,New York Islanders,1,Boston Bruins,2,SO,17565,02:42,,2018-11-29
29/11/2018,Minnesota Wild,2,Columbus Blue Jackets,4,,15210,02:28,,2018-11-29
29/11/2018,Los Angeles Kings,2,Edmonton Oilers,3,,18347,02:35,,2018-11-29
29/11/2018,Arizona Coyotes,3,Nashville Predators,0,,17165,02:33,,2018-11-29
29/11/2018,New York Rangers,0,Ottawa Senators,3,,10921,02:13,,2018-11-29
29/11/2018,Buffalo Sabres,4,Tampa Bay Lightning,5,,19092,02:33,,2018-11-29
29/11/2018,Vegas Golden Knights,4,Vancouver Canucks,3,,16880,02:25,,2018-11-29
29/11/2018,Chicago Blackhawks,5,Winnipeg Jets,6,,15321,02:21,,2018-11-29
30/11/2018,Anaheim Ducks,2,Carolina Hurricanes,1,OT,13987,02:34,,2018-11-30
30/11/2018,Los Angeles Kings,1,Calgary Flames,4,,17989,02:18,,2018-11-30
30/11/2018,St. Louis Blues,3,Colorado Avalanche,2,OT,18021,02:38,,2018-11-30
30/11/2018,Buffalo Sabres,2,Florida Panthers,3,OT,12179,02:36,,2018-11-30
30/11/2018,New Jersey Devils,3,Washington Capitals,6,,18506,02:33,,2018-11-30
1/12/2018,St. Louis Blues,1,Arizona Coyotes,6,,13451,02:30,,2018-12-01
1/12/2018,Detroit Red Wings,4,Boston Bruins,2,,17565,02:40,,2018-12-01
1/12/2018,Vegas Golden Knights,1,Edmonton Oilers,2,,18347,02:19,,2018-12-01
1/12/2018,Tampa Bay Lightning,5,Florida Panthers,4,OT,12361,02:47,,2018-12-01
1/12/2018,Toronto Maple Leafs,5,Minnesota Wild,3,,19107,02:31,,2018-12-01
1/12/2018,New York Rangers,2,Montreal Canadiens,5,,21302,02:26,,2018-12-01
1/12/2018,Winnipeg Jets,4,New Jersey Devils,3,OT,16514,02:46,,2018-12-01
1/12/2018,Chicago Blackhawks,2,Nashville Predators,5,,17548,02:26,,2018-12-01
1/12/2018,Columbus Blue Jackets,2,New York Islanders,3,,13917,02:30,at Nassau Veterans Memorial Coliseum (Uniondale NY),2018-12-01
1/12/2018,San Jose Sharks,2,Ottawa Senators,6,,17531,02:37,,2018-12-01
1/12/2018,Philadelphia Flyers,4,Pittsburgh Penguins,2,,18653,02:23,,2018-12-01
1/12/2018,Dallas Stars,2,Vancouver Canucks,1,,17387,02:30,,2018-12-01
2/12/2018,Calgary Flames,3,Chicago Blackhawks,2,,21074,02:30,,2018-12-02
2/12/2018,Colorado Avalanche,2,Detroit Red Wings,0,,18248,02:32,at Little Caesars Arena (Detroit MI),2018-12-02
2/12/2018,Carolina Hurricanes,0,Los Angeles Kings,2,,17546,02:38,,2018-12-02
2/12/2018,San Jose Sharks,3,Montreal Canadiens,1,,20301,02:24,,2018-12-02
2/12/2018,Winnipeg Jets,4,New York Rangers,3,SO,17464,02:42,,2018-12-02
2/12/2018,Anaheim Ducks,6,Washington Capitals,5,,18506,02:35,,2018-12-02
3/12/2018,Edmonton Oilers,1,Dallas Stars,4,,18125,02:34,,2018-12-03
3/12/2018,Tampa Bay Lightning,5,New Jersey Devils,1,,13394,02:32,,2018-12-03
3/12/2018,Buffalo Sabres,1,Nashville Predators,2,,17311,02:31,,2018-12-03
4/12/2018,Toronto Maple Leafs,4,Buffalo Sabres,3,OT,19070,02:38,,2018-12-04
4/12/2018,Calgary Flames,9,Columbus Blue Jackets,6,,14885,02:30,,2018-12-04
4/12/2018,Tampa Bay Lightning,6,Detroit Red Wings,5,SO,18477,02:42,at Little Caesars Arena (Detroit MI),2018-12-04
4/12/2018,Boston Bruins,0,Florida Panthers,5,,12058,02:40,,2018-12-04
4/12/2018,Arizona Coyotes,2,Los Angeles Kings,1,,17203,02:32,,2018-12-04
4/12/2018,Ottawa Senators,2,Montreal Canadiens,5,,20705,02:25,,2018-12-04
4/12/2018,Winnipeg Jets,3,New York Islanders,1,,9125,02:22,,2018-12-04
4/12/2018,Colorado Avalanche,3,Pittsburgh Penguins,6,,18415,02:34,,2018-12-04
4/12/2018,Minnesota Wild,3,Vancouver Canucks,2,,17122,02:25,,2018-12-04
4/12/2018,Washington Capitals,3,Vegas Golden Knights,5,,18275,02:36,,2018-12-04
5/12/2018,Chicago Blackhawks,2,Anaheim Ducks,4,,15696,02:24,,2018-12-05
