Date,visitor,G,home,G.1,Unnamed: 5,Att.,LOG,Notes,game_date,original_month,original_day,home_team,visitor_team,game_month,game_day,original_month_number,game_month_number,original_date,source,reschedule,day_difference
6/2/2021,Vancouver Canucks,1,Toronto Maple Leafs,5,,,02:25,,2021-02-06,,,,,,,,,,,0.0,
6/2/2021,Edmonton Oilers,4,Calgary Flames,6,,,02:33,,2021-02-06,,,,,,,,,,,0.0,
27/3/2021,Buffalo Sabres,2,Boston Bruins,3,,2191.0,02:28,,2021-02-06,Feb.,6.0,Bruins,Sabres,March,27.0,2.0,3.0,2021-02-06,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,49.0
14/4/2021,Colorado Avalanche,4,St. Louis Blues,3,,,02:33,,2021-02-06,Feb.,6.0,Blues,Avalanche,April,14.0,2.0,4.0,2021-02-06,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,67.0
7/2/2021,Chicago Blackhawks,2,Dallas Stars,1,OT,4203.0,02:29,,2021-02-07,,,,,,,,,,,0.0,
7/2/2021,Detroit Red Wings,4,Florida Panthers,1,,3706.0,02:26,,2021-02-07,,,,,,,,,,,0.0,
7/2/2021,Los Angeles Kings,3,Vegas Golden Knights,4,,,02:21,,2021-02-07,,,,,,,,,,,0.0,
14/4/2021,Arizona Coyotes,2,Minnesota Wild,5,,3000.0,02:18,,2021-02-07,Feb.,7.0,Wild,Coyotes,April,14.0,2.0,4.0,2021-02-07,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,66.0
7/2/2021,Carolina Hurricanes,6,Columbus Blue Jackets,5,,,02:33,,2021-02-07,,,,,,,,,,,0.0,
7/2/2021,Philadelphia Flyers,7,Washington Capitals,4,,,02:18,,2021-02-07,,,,,,,,,,,0.0,
13/4/2021,Buffalo Sabres,2,Boston Bruins,3,SO,2191.0,02:45,,2021-02-08,Feb.,8.0,Bruins,Sabres,April,13.0,2.0,4.0,2021-02-08,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,64.0
8/2/2021,New York Islanders,2,New York Rangers,0,,,02:16,,2021-02-08,,,,,,,,,,,0.0,
8/2/2021,Carolina Hurricanes,2,Columbus Blue Jackets,3,,,02:29,,2021-02-08,,,,,,,,,,,0.0,
8/2/2021,Edmonton Oilers,3,Ottawa Senators,1,,,02:25,,2021-02-08,,,,,,,,,,,0.0,
