game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number
Fri,2021-01-15,2021,8:00p,Chicago Bulls,125,Oklahoma City Thunder,127,OT,0,2020/2021,Jan,15,1
Fri,2021-01-15,2021,9:00p,Atlanta Hawks,92,Utah Jazz,116,,1932,2020/2021,Jan,15,1
Fri,2021-01-15,2021,10:00p,New Orleans Pelicans,95,Los Angeles Lakers,112,,0,2020/2021,Jan,15,1
Fri,2021-01-15,2021,10:00p,Los Angeles Clippers,138,Sacramento Kings,100,,0,2020/2021,Jan,15,1
Sat,2021-01-16,2021,5:00p,Houston Rockets,91,San Antonio Spurs,103,,0,2020/2021,Jan,16,1
Sat,2021-01-16,2021,6:00p,Orlando Magic,115,Brooklyn Nets,122,,0,2020/2021,Jan,16,1
Sat,2021-01-16,2021,7:30p,Charlotte Hornets,113,Toronto Raptors,116,,0,2020/2021,Jan,16,1
Sat,2021-01-16,2021,8:00p,Philadelphia 76ers,104,Memphis Grizzlies,106,,206,2020/2021,Jan,16,1
Sat,2021-01-16,2021,8:00p,Detroit Pistons,120,Miami Heat,100,,0,2020/2021,Jan,16,1
Sat,2021-01-16,2021,10:00p,Atlanta Hawks,106,Portland Trail Blazers,112,,0,2020/2021,Jan,16,1
Sun,2021-01-17,2021,1:00p,New York Knicks,105,Boston Celtics,75,,0,2020/2021,Jan,17,1
Sun,2021-01-17,2021,3:00p,Chicago Bulls,117,Dallas Mavericks,101,,0,2020/2021,Jan,17,1
Sun,2021-01-17,2021,8:00p,Utah Jazz,109,Denver Nuggets,105,,0,2020/2021,Jan,17,1
Sun,2021-01-17,2021,9:00p,New Orleans Pelicans,128,Sacramento Kings,123,,0,2020/2021,Jan,17,1
Sun,2021-01-17,2021,10:00p,Indiana Pacers,96,Los Angeles Clippers,129,,0,2020/2021,Jan,17,1
Mon,2021-01-18,2021,12:00p,Orlando Magic,84,New York Knicks,91,,0,2020/2021,Jan,18,1
Mon,2021-01-18,2021,2:30p,Minnesota Timberwolves,97,Atlanta Hawks,108,,0,2020/2021,Jan,18,1
Mon,2021-01-18,2021,3:00p,San Antonio Spurs,125,Portland Trail Blazers,104,,0,2020/2021,Jan,18,1
Mon,2021-01-18,2021,5:00p,Phoenix Suns,104,Memphis Grizzlies,108,,204,2020/2021,Jan,18,1
Mon,2021-01-18,2021,7:30p,Milwaukee Bucks,123,Brooklyn Nets,125,,0,2020/2021,Jan,18,1
Mon,2021-01-18,2021,7:30p,Dallas Mavericks,93,Toronto Raptors,116,,0,2020/2021,Jan,18,1
Mon,2021-01-18,2021,8:00p,Houston Rockets,120,Chicago Bulls,125,,0,2020/2021,Jan,18,1
Mon,2021-01-18,2021,8:00p,Detroit Pistons,107,Miami Heat,113,,0,2020/2021,Jan,18,1
Mon,2021-01-18,2021,10:00p,Golden State Warriors,115,Los Angeles Lakers,113,,0,2020/2021,Jan,18,1
Tue,2021-01-19,2021,9:00p,Oklahoma City Thunder,101,Denver Nuggets,119,,0,2020/2021,Jan,19,1
Tue,2021-01-19,2021,9:00p,New Orleans Pelicans,102,Utah Jazz,118,,1932,2020/2021,Jan,19,1
Wed,2021-01-20,2021,7:00p,Brooklyn Nets,135,Cleveland Cavaliers,147,2OT,1944,2020/2021,Jan,20,1
Wed,2021-01-20,2021,7:00p,Dallas Mavericks,124,Indiana Pacers,112,,0,2020/2021,Jan,20,1
Wed,2021-01-20,2021,7:00p,Boston Celtics,109,Philadelphia 76ers,117,,0,2020/2021,Jan,20,1
Wed,2021-01-20,2021,7:30p,Detroit Pistons,115,Atlanta Hawks,123,OT,0,2020/2021,Jan,20,1
Wed,2021-01-20,2021,7:30p,Miami Heat,111,Toronto Raptors,102,,0,2020/2021,Jan,20,1
Wed,2021-01-20,2021,8:00p,Orlando Magic,97,Minnesota Timberwolves,96,,0,2020/2021,Jan,20,1
Wed,2021-01-20,2021,9:30p,Phoenix Suns,109,Houston Rockets,103,,3022,2020/2021,Jan,20,1
