Team,Distance,Schedule Type,League
Orlando Magic,70091.29883043923,basic - low - 25_more_games - monthly,NBA
Philadelphia 76ers,57106.06156964434,basic - low - 25_more_games - monthly,NBA
Toronto Raptors,56061.62947294438,basic - low - 25_more_games - monthly,NBA
Boston Celtics,81742.9561559018,basic - low - 25_more_games - monthly,NBA
Chicago Bulls,59440.77816538602,basic - low - 25_more_games - monthly,NBA
Memphis Grizzlies,65701.71379587625,basic - low - 25_more_games - monthly,NBA
Minnesota Timberwolves,65808.73715084123,basic - low - 25_more_games - monthly,NBA
Denver Nuggets,69255.2173622021,basic - low - 25_more_games - monthly,NBA
Portland Trail Blazers,73061.18997294728,basic - low - 25_more_games - monthly,NBA
Phoenix Suns,68329.1795181905,basic - low - 25_more_games - monthly,NBA
Miami Heat,64492.88869647012,basic - low - 25_more_games - monthly,NBA
Milwaukee Bucks,67072.31391550123,basic - low - 25_more_games - monthly,NBA
Charlotte Hornets,49851.21247787254,basic - low - 25_more_games - monthly,NBA
Detroit Pistons,52779.27414565101,basic - low - 25_more_games - monthly,NBA
Washington Wizards,59162.320307888636,basic - low - 25_more_games - monthly,NBA
New York Knicks,59972.10187629982,basic - low - 25_more_games - monthly,NBA
San Antonio Spurs,62888.06425040395,basic - low - 25_more_games - monthly,NBA
Utah Jazz,75499.88794316424,basic - low - 25_more_games - monthly,NBA
Sacramento Kings,76275.12640336218,basic - low - 25_more_games - monthly,NBA
Los Angeles Clippers,64041.371173665146,basic - low - 25_more_games - monthly,NBA
New Orleans Pelicans,67863.02150173877,basic - low - 25_more_games - monthly,NBA
Atlanta Hawks,51285.321395313695,basic - low - 25_more_games - monthly,NBA
Oklahoma City Thunder,53896.02136093412,basic - low - 25_more_games - monthly,NBA
Dallas Mavericks,61579.87239673661,basic - low - 25_more_games - monthly,NBA
Houston Rockets,68758.47874460138,basic - low - 25_more_games - monthly,NBA
Golden State Warriors,72352.13982803228,basic - low - 25_more_games - monthly,NBA
all,1921173.7694816566,basic - low - 25_more_games - monthly,NBA
Brooklyn Nets,59315.36104639384,basic - low - 25_more_games - post_all_star,NBA
Los Angeles Lakers,64527.6845592153,basic - low - 25_more_games - post_all_star,NBA
Cleveland Cavaliers,51843.73718024445,basic - low - 25_more_games - post_all_star,NBA
Indiana Pacers,55925.05257024185,basic - low - 25_more_games - post_all_star,NBA
Orlando Magic,70091.29883043923,basic - low - 25_more_games - post_all_star,NBA
Philadelphia 76ers,57106.06156964434,basic - low - 25_more_games - post_all_star,NBA
Toronto Raptors,56061.62947294438,basic - low - 25_more_games - post_all_star,NBA
Boston Celtics,63829.40408164328,basic - low - 25_more_games - post_all_star,NBA
Chicago Bulls,54555.486446690076,basic - low - 25_more_games - post_all_star,NBA
Memphis Grizzlies,55097.748061643884,basic - low - 25_more_games - post_all_star,NBA
Minnesota Timberwolves,66262.8680798337,basic - low - 25_more_games - post_all_star,NBA
Denver Nuggets,65047.947481392024,basic - low - 25_more_games - post_all_star,NBA
Portland Trail Blazers,67173.56176447592,basic - low - 25_more_games - post_all_star,NBA
Phoenix Suns,66466.70448698163,basic - low - 25_more_games - post_all_star,NBA
Miami Heat,64429.04354682349,basic - low - 25_more_games - post_all_star,NBA
Milwaukee Bucks,53540.45732735029,basic - low - 25_more_games - post_all_star,NBA
Charlotte Hornets,49520.38049721599,basic - low - 25_more_games - post_all_star,NBA
Detroit Pistons,51138.28462893508,basic - low - 25_more_games - post_all_star,NBA
Washington Wizards,54506.12556797106,basic - low - 25_more_games - post_all_star,NBA
New York Knicks,59972.10187629982,basic - low - 25_more_games - post_all_star,NBA
San Antonio Spurs,61779.69109908096,basic - low - 25_more_games - post_all_star,NBA
Utah Jazz,65358.64908515962,basic - low - 25_more_games - post_all_star,NBA
Sacramento Kings,71877.18320681939,basic - low - 25_more_games - post_all_star,NBA
Los Angeles Clippers,65279.40195977216,basic - low - 25_more_games - post_all_star,NBA
New Orleans Pelicans,64767.54807505551,basic - low - 25_more_games - post_all_star,NBA
Atlanta Hawks,51285.321395313695,basic - low - 25_more_games - post_all_star,NBA
Oklahoma City Thunder,53507.419073292935,basic - low - 25_more_games - post_all_star,NBA
Dallas Mavericks,61579.87239673661,basic - low - 25_more_games - post_all_star,NBA
Houston Rockets,65897.94773628825,basic - low - 25_more_games - post_all_star,NBA
Golden State Warriors,72352.13982803228,basic - low - 25_more_games - post_all_star,NBA
all,1820096.112931931,basic - low - 25_more_games - post_all_star,NBA
Brooklyn Nets,61559.75857629586,basic - low - 15_games_in_march - monthly,NBA
Los Angeles Lakers,64527.6845592153,basic - low - 15_games_in_march - monthly,NBA
Cleveland Cavaliers,53329.67393971948,basic - low - 15_games_in_march - monthly,NBA
Indiana Pacers,55925.05257024185,basic - low - 15_games_in_march - monthly,NBA
Orlando Magic,68170.1712843903,basic - low - 15_games_in_march - monthly,NBA
Philadelphia 76ers,57106.06156964434,basic - low - 15_games_in_march - monthly,NBA
Toronto Raptors,56510.61443195623,basic - low - 15_games_in_march - monthly,NBA
Boston Celtics,63829.40408164328,basic - low - 15_games_in_march - monthly,NBA
Chicago Bulls,56005.28341039955,basic - low - 15_games_in_march - monthly,NBA
Memphis Grizzlies,62515.02418805243,basic - low - 15_games_in_march - monthly,NBA
Minnesota Timberwolves,64618.734046446065,basic - low - 15_games_in_march - monthly,NBA
Denver Nuggets,67715.02280195635,basic - low - 15_games_in_march - monthly,NBA
Portland Trail Blazers,68792.62269375104,basic - low - 15_games_in_march - monthly,NBA
Phoenix Suns,65097.54611252499,basic - low - 15_games_in_march - monthly,NBA
Miami Heat,62979.47886386524,basic - low - 15_games_in_march - monthly,NBA
Milwaukee Bucks,56480.58931979092,basic - low - 15_games_in_march - monthly,NBA
Charlotte Hornets,59682.58932929468,basic - low - 15_games_in_march - monthly,NBA
Detroit Pistons,51138.28462893508,basic - low - 15_games_in_march - monthly,NBA
Washington Wizards,54943.87378432003,basic - low - 15_games_in_march - monthly,NBA
New York Knicks,59972.10187629982,basic - low - 15_games_in_march - monthly,NBA
San Antonio Spurs,62888.06425040395,basic - low - 15_games_in_march - monthly,NBA
Utah Jazz,66655.92247856098,basic - low - 15_games_in_march - monthly,NBA
Sacramento Kings,74693.62789152944,basic - low - 15_games_in_march - monthly,NBA
Los Angeles Clippers,65944.31324831114,basic - low - 15_games_in_march - monthly,NBA
New Orleans Pelicans,64767.54807505551,basic - low - 15_games_in_march - monthly,NBA
Atlanta Hawks,50104.867647197825,basic - low - 15_games_in_march - monthly,NBA
Oklahoma City Thunder,52560.18364735891,basic - low - 15_games_in_march - monthly,NBA
Dallas Mavericks,64206.87297389641,basic - low - 15_games_in_march - monthly,NBA
Houston Rockets,70177.19526375456,basic - low - 15_games_in_march - monthly,NBA
Golden State Warriors,72233.05341102774,basic - low - 15_games_in_march - monthly,NBA
all,1855131.220955839,basic - low - 15_games_in_march - monthly,NBA
Brooklyn Nets,61559.75857629586,basic - low - 15_games_in_march - post_all_star,NBA
Los Angeles Lakers,64527.6845592153,basic - low - 15_games_in_march - post_all_star,NBA
Cleveland Cavaliers,52838.67295949018,basic - low - 15_games_in_march - post_all_star,NBA
Indiana Pacers,58865.79391014979,basic - low - 15_games_in_march - post_all_star,NBA
Orlando Magic,68170.1712843903,basic - low - 15_games_in_march - post_all_star,NBA
Philadelphia 76ers,57106.06156964434,basic - low - 15_games_in_march - post_all_star,NBA
Toronto Raptors,56510.61443195623,basic - low - 15_games_in_march - post_all_star,NBA
Boston Celtics,63829.40408164328,basic - low - 15_games_in_march - post_all_star,NBA
Chicago Bulls,56005.28341039955,basic - low - 15_games_in_march - post_all_star,NBA
Memphis Grizzlies,62515.02418805243,basic - low - 15_games_in_march - post_all_star,NBA
Minnesota Timberwolves,64618.734046446065,basic - low - 15_games_in_march - post_all_star,NBA
Denver Nuggets,67715.02280195635,basic - low - 15_games_in_march - post_all_star,NBA
Portland Trail Blazers,68792.62269375104,basic - low - 15_games_in_march - post_all_star,NBA
Phoenix Suns,66466.70448698163,basic - low - 15_games_in_march - post_all_star,NBA
Miami Heat,62979.47886386524,basic - low - 15_games_in_march - post_all_star,NBA
Milwaukee Bucks,56480.58931979092,basic - low - 15_games_in_march - post_all_star,NBA
Charlotte Hornets,59682.58932929468,basic - low - 15_games_in_march - post_all_star,NBA
Detroit Pistons,51138.28462893508,basic - low - 15_games_in_march - post_all_star,NBA
Washington Wizards,54943.87378432003,basic - low - 15_games_in_march - post_all_star,NBA
New York Knicks,59972.10187629982,basic - low - 15_games_in_march - post_all_star,NBA
San Antonio Spurs,61779.69109908096,basic - low - 15_games_in_march - post_all_star,NBA
Utah Jazz,66655.92247856098,basic - low - 15_games_in_march - post_all_star,NBA
Sacramento Kings,74693.62789152944,basic - low - 15_games_in_march - post_all_star,NBA
Los Angeles Clippers,65944.31324831114,basic - low - 15_games_in_march - post_all_star,NBA
New Orleans Pelicans,64767.54807505551,basic - low - 15_games_in_march - post_all_star,NBA
Atlanta Hawks,50104.867647197825,basic - low - 15_games_in_march - post_all_star,NBA
Oklahoma City Thunder,52472.23763119975,basic - low - 15_games_in_march - post_all_star,NBA
Dallas Mavericks,64206.87297389641,basic - low - 15_games_in_march - post_all_star,NBA
Houston Rockets,70177.19526375456,basic - low - 15_games_in_march - post_all_star,NBA
Golden State Warriors,72233.05341102774,basic - low - 15_games_in_march - post_all_star,NBA
all,1857753.800522492,basic - low - 15_games_in_march - post_all_star,NBA
Brooklyn Nets,59315.36104639384,min_diff - low - basic - monthly,NBA
Los Angeles Lakers,64527.6845592153,min_diff - low - basic - monthly,NBA
