home,visitor,game_date,Schedule Type,League
Washington Capitals,Buffalo Sabres,2021-02-18,Actual,NHL
Carolina Hurricanes,Chicago Blackhawks,2021-02-19,Actual,NHL
Calgary Flames,Edmonton Oilers,2021-02-19,Actual,NHL
Detroit Red Wings,Florida Panthers,2021-02-19,Actual,NHL
Vancouver Canucks,Winnipeg Jets,2021-02-19,Actual,NHL
Anaheim Ducks,Minnesota Wild,2021-02-20,Actual,NHL
Arizona Coyotes,Los Angeles Kings,2021-02-20,Actual,NHL
Carolina Hurricanes,Tampa Bay Lightning,2021-02-20,Actual,NHL
Columbus Blue Jackets,Nashville Predators,2021-02-20,Actual,NHL
Colorado Avalanche,Vegas Golden Knights,2021-02-20,Actual,NHL
Detroit Red Wings,Florida Panthers,2021-02-20,Actual,NHL
Edmonton Oilers,Calgary Flames,2021-02-20,Actual,NHL
Montreal Canadiens,Toronto Maple Leafs,2021-02-20,Actual,NHL
New Jersey Devils,Buffalo Sabres,2021-02-20,Actual,NHL
Pittsburgh Penguins,New York Islanders,2021-02-20,Actual,NHL
St. Louis Blues,San Jose Sharks,2021-02-20,Actual,NHL
Washington Capitals,New York Rangers,2021-02-20,Actual,NHL
Boston Bruins,Philadelphia Flyers,2021-02-21,Actual,NHL
Ottawa Senators,Montreal Canadiens,2021-02-21,Actual,NHL
Vancouver Canucks,Winnipeg Jets,2021-02-21,Actual,NHL
Washington Capitals,New Jersey Devils,2021-02-21,Actual,NHL
Arizona Coyotes,Anaheim Ducks,2021-02-22,Actual,NHL
Carolina Hurricanes,Tampa Bay Lightning,2021-02-22,Actual,NHL
Colorado Avalanche,Vegas Golden Knights,2021-02-22,Actual,NHL
Florida Panthers,Dallas Stars,2021-02-22,Actual,NHL
New York Islanders,Buffalo Sabres,2021-02-22,Actual,NHL
San Jose Sharks,Minnesota Wild,2021-02-22,Actual,NHL
St. Louis Blues,Los Angeles Kings,2021-02-22,Actual,NHL
Toronto Maple Leafs,Calgary Flames,2021-02-22,Actual,NHL
Columbus Blue Jackets,Chicago Blackhawks,2021-02-23,Actual,NHL
